nombre	appelido	leg_	partido	state	d670611	d670602	d670605	d680318	d680515a	d680515b	d680515c	d680515d	d680515e	d680515f	d680515g	d680515h	d700424	d860721	d880907	d900426	d711026
"Vote #"	""	""			"yes"	"yes"	"yes"	"yes"	"yes"	2	3	4	5	6	"no vote"	8	"yes"				
"Threshold"	""	""							3	3	3	3	3	3	3	3					
"Aguilar Peralta"	"Alvaro"	"d001"	"punif"	"alajuela"																	"no"
"Aguilar Sevilla"	"Jose Alberto"	"d002"	"pln"	"san jose"														"yes"	"yes"	"no vote"	
"Aguilar Vargas"	"Rene"	"d003"	"punif"	"san jose"	"yes"	"yes"	"yes"	"no"	"yes"	"no"	"no"	"yes"	"no"	"yes"	"yes"		"yes"				
"Aguiluz Orellana"	"Marcial"	"d004"	"as"	"san jose"																	"no"
"Aiza Carrillo"	"Rosa Alpina"	"d005"	"pln"	"guanacaste"																	"yes"
"Alfaro Quiros"	"Guillermo"	"d006"	"punif"	"limon"	"yes"	"yes"	"yes"	"no vote"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"				
"Alonso Andres"	"Eladio"	"d007"	"pln"	"cartago"																	"yes"
"Ames Alfau"	"Erasmo Alfonso"	"d008"	"punif"	"puntarenas"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"				
"Arauz Aguilar"	"Armando"	"d009"	"pln"	"guanacaste"	"yes"	"no"	"no vote"	"no vote"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"no"				
"Arauz Aguilar"	"Pedro"	"d010"	"punif"	"guanacaste"																	"no vote"
"Arauz Bonilla"	"Salvador"	"d011"	"punif"	"puntarenas"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"	"yes"				
"Araya Guillen"	"Carlos Eduardo"	"d012"	"pusc"	"san jose"														"no"	"no vote"	"yes"	
"Araya Rodriguez"	"Claudio Cesar"	"d013"	"pln"	"alajuela"																	"yes"
"Araya Umana"	"Rodrigo"	"d014"	"pusc"	"heredia"														"no"	"yes"	"no vote"	
"Araya Vargas"	"Jose Fabio"	"d015"	"pln"	"alajuela"																	"yes"
